goos: darwin
goarch: arm64
pkg: github.com/wangle201210/ldap-go/internal/directory
cpu: Apple M1 Pro
BenchmarkDNDisplayCompare/root/tail-miss/suffix/string-8      	 1594525	       108.8 ns/op	      96 B/op	       2 allocs/op
BenchmarkDNDisplayCompare/root/tail-miss/suffix/string-8      	 2162154	        87.44 ns/op	      96 B/op	       2 allocs/op
BenchmarkDNDisplayCompare/escaped-multiava/equal/equals/direct-8         	14242196	        12.92 ns/op	       0 B/op	       0 allocs/op
BenchmarkDNDisplayCompare/escaped-multiava/equal/equals/direct-8         	14307051	        15.47 ns/op	       0 B/op	       0 allocs/op
BenchmarkDNDisplayCompare/escaped-multiava/equal/equals/string-8         	 2849229	        68.43 ns/op	      48 B/op	       1 allocs/op
BenchmarkDNDisplayCompare/escaped-multiava/equal/equals/string-8         	 2659213	        65.54 ns/op	      48 B/op	       1 allocs/op
BenchmarkDNDisplayCompare/escaped-multiava/equal/suffix/direct-8         	11371502	        14.57 ns/op	       0 B/op	       0 allocs/op
BenchmarkDNDisplayCompare/escaped-multiava/equal/suffix/direct-8         	11162992	        13.67 ns/op	       0 B/op	       0 allocs/op
BenchmarkDNDisplayCompare/escaped-multiava/equal/suffix/string-8         	 1382974	       112.7 ns/op	      48 B/op	       1 allocs/op
BenchmarkDNDisplayCompare/escaped-multiava/equal/suffix/string-8         	 2320996	        77.60 ns/op	      48 B/op	       1 allocs/op
BenchmarkDNDisplayCompare/escaped-multiava/child/equals/direct-8         	28745383	         5.250 ns/op	       0 B/op	       0 allocs/op
BenchmarkDNDisplayCompare/escaped-multiava/child/equals/direct-8         	38395568	         6.946 ns/op	       0 B/op	       0 allocs/op
BenchmarkDNDisplayCompare/escaped-multiava/child/equals/string-8         	 1377862	       120.7 ns/op	      48 B/op	       1 allocs/op
BenchmarkDNDisplayCompare/escaped-multiava/child/equals/string-8         	 2885343	        63.54 ns/op	      48 B/op	       1 allocs/op
BenchmarkDNDisplayCompare/escaped-multiava/child/suffix/direct-8         	13281954	        13.43 ns/op	       0 B/op	       0 allocs/op
BenchmarkDNDisplayCompare/escaped-multiava/child/suffix/direct-8         	11550801	        15.50 ns/op	       0 B/op	       0 allocs/op
BenchmarkDNDisplayCompare/escaped-multiava/child/suffix/string-8         	  982330	       177.7 ns/op	      96 B/op	       2 allocs/op
BenchmarkDNDisplayCompare/escaped-multiava/child/suffix/string-8         	 1239042	       150.2 ns/op	      96 B/op	       2 allocs/op
BenchmarkDNDisplayCompare/escaped-multiava/prefix-miss/equals/direct-8   	25095414	         6.500 ns/op	       0 B/op	       0 allocs/op
BenchmarkDNDisplayCompare/escaped-multiava/prefix-miss/equals/direct-8   	31866549	         5.182 ns/op	       0 B/op	       0 allocs/op
BenchmarkDNDisplayCompare/escaped-multiava/prefix-miss/equals/string-8   	 1372017	       115.7 ns/op	      48 B/op	       1 allocs/op
BenchmarkDNDisplayCompare/escaped-multiava/prefix-miss/equals/string-8   	 1659411	       128.1 ns/op	      48 B/op	       1 allocs/op
BenchmarkDNDisplayCompare/escaped-multiava/prefix-miss/suffix/direct-8   	10566669	        17.09 ns/op	       0 B/op	       0 allocs/op
BenchmarkDNDisplayCompare/escaped-multiava/prefix-miss/suffix/direct-8   	12761130	        13.93 ns/op	       0 B/op	       0 allocs/op
BenchmarkDNDisplayCompare/escaped-multiava/prefix-miss/suffix/string-8   	 1000000	       160.3 ns/op	      96 B/op	       2 allocs/op
BenchmarkDNDisplayCompare/escaped-multiava/prefix-miss/suffix/string-8   	  816998	       230.6 ns/op	      96 B/op	       2 allocs/op
BenchmarkDNDisplayCompare/escaped-multiava/tail-miss/equals/direct-8     	11709315	        15.39 ns/op	       0 B/op	       0 allocs/op
BenchmarkDNDisplayCompare/escaped-multiava/tail-miss/equals/direct-8     	13125153	        14.17 ns/op	       0 B/op	       0 allocs/op
BenchmarkDNDisplayCompare/escaped-multiava/tail-miss/equals/string-8     	 2153774	       120.6 ns/op	      48 B/op	       1 allocs/op
BenchmarkDNDisplayCompare/escaped-multiava/tail-miss/equals/string-8     	 1000000	       167.3 ns/op	      48 B/op	       1 allocs/op
BenchmarkDNDisplayCompare/escaped-multiava/tail-miss/suffix/direct-8     	32073009	         5.449 ns/op	       0 B/op	       0 allocs/op
BenchmarkDNDisplayCompare/escaped-multiava/tail-miss/suffix/direct-8     	39002854	         4.604 ns/op	       0 B/op	       0 allocs/op
BenchmarkDNDisplayCompare/escaped-multiava/tail-miss/suffix/string-8     	 1000000	       211.6 ns/op	      96 B/op	       2 allocs/op
