File: profile-current.test
Type: alloc_space
Time: 2026-09-23 14:47:08 CST
Showing nodes accounting for 2189.22MB, 95.34% of 2296.28MB total
Dropped 87 nodes (cum <= 11.48MB)
      flat  flat%   sum%        cum   cum%
         0     0% 95.34%   351.03MB 15.29%  github.com/wangle201210/ldap-go/internal/storage.(*boltNamingContextIndex).decodeRow
         0     0% 95.34%   407.36MB 17.74%  github.com/wangle201210/ldap-go/internal/storage.(*boltTx).buildNamingContextIndex
         0     0% 95.34%       17MB  0.74%  github.com/wangle201210/ldap-go/internal/storage.(*boltTx).schemaAwareDNIdentityReady
         0     0% 95.34%   408.42MB 17.79%  github.com/wangle201210/ldap-go/internal/storage.InferNamingContextsIncremental
         0     0% 95.34%   133.54MB  5.82%  github.com/wangle201210/ldap-go/internal/storage.decodeBinaryStoredEntry
         0     0% 95.34%   211.09MB  9.19%  github.com/wangle201210/ldap-go/internal/storage.decodeNormalizedStoredEntry
         0     0% 95.34%   211.09MB  9.19%  github.com/wangle201210/ldap-go/internal/storage.decodeStoredEntry
         0     0% 95.34%    15.50MB  0.68%  github.com/wangle201210/ldap-go/internal/storage.partitionReader.AccessContext
         0     0% 95.34%       17MB  0.74%  github.com/wangle201210/ldap-go/internal/storage.requireSchemaAwareDNIdentities
         0     0% 95.34%   330.62MB 14.40%  github.com/wangle201210/ldap-go/internal/storage.schemaAwareGetIn
         0     0% 95.34%   343.12MB 14.94%  github.com/wangle201210/ldap-go/internal/storage.schemaAwarePartitionReader.Get
         0     0% 95.34%    17.50MB  0.76%  github.com/wangle201210/ldap-go/internal/storage.schemaAwarePartitionReader.NormalizeDNIdentity
         0     0% 95.34%   201.02MB  8.75%  github.com/wangle201210/ldap-go/internal/storage.validateStoredEntryIdentityDN
         0     0% 95.34%   168.04MB  7.32%  go.etcd.io/bbolt.(*Bucket).Bucket
         0     0% 95.34%   407.36MB 17.74%  go.etcd.io/bbolt.(*Bucket).ForEach
         0     0% 95.34%       24MB  1.05%  go.etcd.io/bbolt.(*Bucket).Get
         0     0% 95.34%    19.50MB  0.85%  go.etcd.io/bbolt.(*Cursor).searchPage
         0     0% 95.34%    38.50MB  1.68%  go.etcd.io/bbolt.(*Cursor).seek
         0     0% 95.34%    30.51MB  1.33%  go.etcd.io/bbolt.(*DB).Begin
         0     0% 95.34%   410.95MB 17.90%  go.etcd.io/bbolt.(*DB).Update
         0     0% 95.34%  1166.20MB 50.79%  go.etcd.io/bbolt.(*DB).View
         0     0% 95.34%   168.04MB  7.32%  go.etcd.io/bbolt.(*Tx).Bucket (inline)
         0     0% 95.34%   189.51MB  8.25%  strings.(*Builder).Grow
         0     0% 95.34%   101.50MB  4.42%  strings.(*Builder).WriteRune
         0     0% 95.34%   189.51MB  8.25%  strings.(*Builder).grow
         0     0% 95.34%   106.51MB  4.64%  strings.Join
         0     0% 95.34%       83MB  3.61%  strings.ToLower
